Customer_ID,Customer_Name,Gender,City,State,Quantity,Unit_Price,Discount_%,Total_Amount,Product_Category,Product_Name,Brand
CUST1000,Karthik,Male,Lucknow,Uttar Pradesh,7,543,12,3344.88,Footwear,Sandals,Adidas
CUST1001,Neha,Female,Kolkata,West Bengal,15,518,21,6138.3,Beauty,Face Cream,Lakme
CUST1002,Arun,Male,Jaipur,Rajasthan,11,526,0,5786,Beauty,Face Cream,Mamaearth
CUST1003,Amit,Male,Lucknow,Uttar Pradesh,8,578,1,4577.76,Beauty,Face Cream,Mamaearth
CUST1004,Lakshmi,Female,Lucknow,Uttar Pradesh,7,574,28,2892.96,Accessories,Watch,Fossil
CUST1005,Ravi,Male,Bengaluru,Karnataka,19,225,15,3633.75,Clothing,T-Shirt,Snitch
CUST1006,Pooja,Female,Jaipur,Rajasthan,11,494,14,4673.24,Electronics,Earbuds,OnePlus
CUST1007,Amit,Male,Mumbai,Maharashtra,11,916,12,8866.88,Electronics,Earbuds,Realme
CUST1008,Neha,Female,Mumbai,Maharashtra,4,980,15,3332,Accessories,Watch,RayBan
CUST1009,Deepak,Male,Pune,Maharashtra,8,905,16,6081.6,Clothing,Kurti,Zara
CUST1010,Anita,Female,Chennai,Tamil Nadu,3,675,20,1620,Beauty,Hair Oil,Lakme
CUST1011,Deepak,Male,Kolkata,West Bengal,2,424,28,610.56,Clothing,Hoodie,H&M
CUST1012,Anita,Female,Chennai,Tamil Nadu,12,491,28,4242.24,Footwear,Sandals,Bata
CUST1013,Anita,Female,Delhi,Delhi,6,787,6,4438.68,Beauty,Shampoo,Mamaearth
CUST1014,Divya,Female,Pune,Maharashtra,2,727,23,1119.58,Accessories,Belt,Titan
CUST1015,Amit,Male,Mumbai,Maharashtra,1,539,25,404.25,Clothing,Jeans,Zara
CUST1016,Anita,Female,Jaipur,Rajasthan,12,303,16,3054.24,Accessories,Sunglasses,Titan
CUST1017,Meera,Female,Delhi,Delhi,12,585,6,6598.8,Footwear,Loafers,Adidas
CUST1018,Pooja,Female,Ahmedabad,Gujarat,17,932,12,13942.72,Accessories,Cap,Boat
CUST1019,Manoj,Male,Jaipur,Rajasthan,10,130,4,1248,Footwear,Loafers,Bata
CUST1020,Priya,Female,Kolkata,West Bengal,16,487,25,5844,Clothing,Jeans,Snitch
CUST1021,Anita,Female,Jaipur,Rajasthan,15,724,16,9122.4,Accessories,Sunglasses,Fossil
CUST1022,Arun,Male,Jaipur,Rajasthan,15,976,2,14347.2,Footwear,Loafers,Bata
CUST1023,Naveen,Male,Lucknow,Uttar Pradesh,19,533,6,9519.38,Accessories,Cap,Boat
CUST1024,Arun,Male,Pune,Maharashtra,12,936,25,8424,Footwear,Sneakers,Nike
CUST1025,Deepak,Male,Ahmedabad,Gujarat,3,475,16,1197,Electronics,Bluetooth Speaker,Boat
CUST1026,Naveen,Male,Bengaluru,Karnataka,5,443,6,2082.1,Accessories,Belt,Fossil
CUST1027,Amit,Male,Hyderabad,Telangana,19,542,20,8238.4,Clothing,Jeans,Zara
CUST1028,Meera,Female,Jaipur,Rajasthan,7,678,0,4746,Accessories,Belt,Boat
CUST1029,Arun,Male,Hyderabad,Telangana,9,174,16,1315.44,Accessories,Cap,RayBan
CUST1030,Manoj,Male,Delhi,Delhi,7,656,29,3260.32,Electronics,Bluetooth Speaker,Realme
CUST1031,Rahul,Male,Jaipur,Rajasthan,18,871,16,13169.52,Footwear,Loafers,Bata
CUST1032,Arun,Male,Jaipur,Rajasthan,4,765,10,2754,Footwear,Sneakers,Nike
CUST1033,Lakshmi,Female,Bengaluru,Karnataka,14,254,24,2702.56,Accessories,Watch,Titan
CUST1034,Naveen,Male,Lucknow,Uttar Pradesh,18,529,26,7046.28,Footwear,Sneakers,Adidas
CUST1035,Vijay,Male,Pune,Maharashtra,9,462,28,2993.76,Accessories,Cap,Fossil
CUST1036,Divya,Female,Jaipur,Rajasthan,2,547,2,1072.12,Accessories,Belt,Boat
CUST1037,Vijay,Male,Ahmedabad,Gujarat,15,333,14,4295.7,Clothing,Hoodie,Snitch
CUST1038,Amit,Male,Jaipur,Rajasthan,7,662,28,3336.48,Accessories,Belt,Titan
CUST1039,Naveen,Male,Jaipur,Rajasthan,12,917,20,8803.2,Clothing,Shirt,Levis
CUST1040,Neha,Female,Bengaluru,Karnataka,8,361,10,2599.2,Accessories,Belt,Fossil
